zona,id_cont,calle,altura,capacidad,ruta,turno,lat,long,the_geom,cartodb_id,created_at,updated_at
2,L2 01180,"NEWBERY, JORGE",2428,3200,,,-34.572406,-58.440963,0101000020E61000007FDFBF7971384DC060048D99444941C0,2026,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,MONTEVIDEO,1990,3200,RDCLM15,MAÑANA,-34.5879,-58.384129,0101000020E6100000FC389A232B314DC0C1A8A44E404B41C0,3028,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00688,SCALABRINI ORTIZ AV.,3030,3200,,,-34.581637,-58.410939,0101000020E610000052D32EA699344DC06092CA14734A41C0,2409,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,LIBERTAD,129,3200,RDCLN08,NOCHE,-34.607012,-58.383503,0101000020E61000007D7555A016314DC0C823B891B24D41C0,264,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,"NEWBERY, JORGE",1925,3200,,,-34.568869,-58.43623,0101000020E61000005DC47762D6374DC0A75A0BB3D04841C0,2024,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,URUGUAY,250,3200,RDCLN08,NOCHE,-34.605925,-58.386453,0101000020E61000007638BA4A77314DC0166A4DF38E4D41C0,4295,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,TUCUMAN,1443,3200,RDCLN09,NOCHE,-34.601629,-58.38723,0101000020E6100000DA03ADC090314DC0A0A9D72D024D41C0,4349,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,PIEDRAS,1144,3200,RDCLN24,NOCHE,-34.62138,-58.377181,0101000020E610000017D68D7747304DC0BA313D61894F41C0,4718,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,AZCUENAGA,278,3200,RDCLM20,MAÑANA,-34.606496,-58.40075,0101000020E61000009EEFA7C64B334DC0D19332A9A14D41C0,3370,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,CORRIENTES AV.,373,3200,RDCLN11,NOCHE,-34.603043,-58.372158,0101000020E6100000EE7893DFA22F4DC0768A5583304D41C0,4466,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,CORRIENTES AV.,1644,3200,RDCLN09,NOCHE,-34.604348,-58.38999,0101000020E61000002EE23B31EB314DC096B377465B4D41C0,4323,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
