etapa,calle,nro,id,direccion_normalizada,x,y,lat,long,the_geom,cartodb_id,created_at,updated_at
Etapa 2 Palermo (MTE),Ugarteche,3252,560,UGARTECHE 3252,104791.60017,105574.211306,-34.579011,-58.41108,0101000020E61000001405FA449E344DC01B834E081D4A41C0,320,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),BORGES,1959,,"BORGES, JORGE LUIS 1959",103380.365347,104759.808934,-34.586358,-58.426456,0101000020E61000006C97361C96364DC0BDDF68C70D4B41C0,426,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Jose Leon Pagano,2668,,"PAGANO, JOSE LEON 2668",105835.58252,105027.475997,-34.583934,-58.399698,0101000020E61000006823D74D29334DC0E0826C59BE4A41C0,595,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Anchorena,1563,,"ANCHORENA, TOMAS MANUEL DE, DR. 1563",105472.481614,104120.589584,-34.592111,-58.40365,0101000020E6100000E4839ECDAA334DC00A4D124BCA4B41C0,663,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Gallo,1469,,GALLO 1469,104898.759865,103992.378099,-34.593269,-58.409903,0101000020E610000022C495B377344DC0855D143DF04B41C0,758,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),SOLER,/ BORGES,,"SOLER y BORGES, JORGE LUIS",103416.2265625,104794.7109375,-34.586043,-58.426066,0101000020E610000001F8A75489364DC05D86FF74034B41C0,103,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Zabala,1909,,ZABALA 1909,101697.661656,107145.811371,-34.564854,-58.444801,0101000020E6100000321D3A3DEF384DC0E481C8224D4841C0,412,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,L.M. Campos,834 aprox,,"CAMPOS, LUIS M. AV. 834",102412.626892,106689.062275,-34.568969,-58.43701,0101000020E6100000320395F1EF374DC00BB8E7F9D34841C0,115,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 5 (Oeste),Ramon Falcon,1302,,"FALCON, RAMON L.,CNEL. 1302",101493.911635,100589.010918,-34.623958,-58.44701,0101000020E6100000137EA99F37394DC0EE0912DBDD4F41C0,525,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 1 Micro recorridos 1(MTE),Bondpland,Nicaragua,515,BONPLAND y NICARAGUA,102641.5859375,105368.0625,-34.580877,-58.43451,0101000020E61000007AE40F069E374DC0D2FF722D5A4A41C0,148,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
